ファイル名,作品名,時代,推定世紀(並べ替え用),所蔵,出典ページ,クレジット表記
01_東大寺大仏殿（明治5年）.jpg,東大寺大仏殿（ColBase収蔵品）,明治5年（1872）,※大仏開眼は奈良時代8世紀,東京国立博物館,https://colbase.nich.go.jp/collection_items/tnm/200981?locale=ja,出典：独立行政法人国立文化財機構 収蔵品統合検索システム ColBase（https://colbase.nich.go.jp/collection_items/tnm/200981?locale=ja）
02_東大寺盧舎那仏像（奈良の大仏）.jpg,東大寺盧舎那仏像（奈良の大仏）,奈良時代・天平勝宝4年(752年)開眼,8,Wikimedia Commons（出典元は東大寺）,https://commons.wikimedia.org/wiki/File:Daibutsu_of_Todaiji_4.jpg,"作者：Mafue、CC BY-SA 3.0（https://commons.wikimedia.org/wiki/File:Daibutsu_of_Todaiji_4.jpg）"
