記号,ファイル名,作品名,時代・出来事,所蔵/作者,出典ページ,クレジット表記
ア,01_c20_a_wwi.jpg,日本海軍兵士の青島上陸,1914年／第一次世界大戦・日本のドイツへの参戦（青島の戦い）,撮影:Paul Thompson,https://commons.wikimedia.org/wiki/File:Imperial_Japanese_Sailors_Coming_Ashore_at_the_Siege_of_Tsingtao_1914.png,パブリックドメイン（Wikimedia Commons）
イ,02_c20_i_crash.jpg,ニューヨーク証券取引所前に集まる群衆,1929年10月24日／世界恐慌（暗黒の木曜日）,Associated Press,https://commons.wikimedia.org/wiki/File:Crowds_gathering_outside_New_York_Stock_Exchange_(3).jpg,パブリックドメイン（Wikimedia Commons）
ウ,03_c20_u_unhq.jpg,国際連合本部ビル（ニューヨーク）,1950年完成（写真撮影は2004年）／国際連合の発足(1945年)を象徴,撮影:Majonaise(ドイツ語版ウィキペディア),https://commons.wikimedia.org/wiki/File:UN_HQ.jpg,作者：Majonaise、CC BY-SA 3.0 / GFDL（Wikimedia Commons）
エ,04_c20_e_oil.jpg,「SORRY! 一時的にガソリン切れです」の貼り紙をした車列,1973年〜74年／石油危機（オイルショック）,米国環境保護庁(EPA)職員撮影,https://commons.wikimedia.org/wiki/Category:Gas_shortage_of_1973_in_the_United_States,パブリックドメイン（米国環境保護庁職員による公務作成物、Wikimedia Commons）
