記号,ファイル名,作品名,時代・象徴する出来事,所蔵/作者,出典ページ,クレジット表記
ア,01_michi_a_suzakumon_web.jpg,平城宮 朱雀門（1998年復元）,奈良時代・駅路や条坊制のあった平城京の正門を象徴,撮影:Tokumeigakarinoaoshima,https://commons.wikimedia.org/wiki/File:Heijo_Palace_Suzaku_Gate.jpg,作者：Tokumeigakarinoaoshima、CC BY-SA 4.0（https://commons.wikimedia.org/wiki/File:Heijo_Palace_Suzaku_Gate.jpg）
イ,02_michi_i_kiyomori.jpg,伝平清盛坐像（写生）,原品:鎌倉時代・13世紀／平安時代末・大輪田泊の修築を進めた平清盛を象徴,東京国立博物館,https://colbase.nich.go.jp/collection_items/tnm/15901?locale=ja,出典：独立行政法人国立文化財機構 収蔵品統合検索システム ColBase（https://colbase.nich.go.jp/collection_items/tnm/15901?locale=ja）
ウ,03_michi_u_nihonbashi.jpg,東海道五十三次之内 日本橋（歌川広重）,江戸時代・天保4-6年(1833-35)頃／五街道の起点・日本橋を象徴,大英博物館（Wikimedia Commons）,https://commons.wikimedia.org/wiki/File:Hiroshige-53-Stations-Hoeido-01-Nihonbashi-BM-01.jpg,作者：歌川広重、パブリックドメイン（Wikimedia Commons）
エ,04_michi_e_tetsudo_web.jpg,横浜海岸鉄道蒸気車之図（三代歌川広重）,明治7年(1874)／新橋〜横浜間の鉄道開通(明治5年/1872)直後を象徴,個人蔵等（Wikimedia Commons）,https://commons.wikimedia.org/wiki/File:Steam-Locomotive-on-the-coast-in-Yokohama-1874-Utagawa-Hiroshige-III.png,作者：三代歌川広重、パブリックドメイン（Wikimedia Commons）
